警号,姓名,身份证号,出生年月,联系电话,政治面貌,入党时间,毕业学校,专业,参加工作年月,警衔,职级,现任职务,性别
333001,廖,198203166741,1982/3/16,13300001111,中共党员,2007/5/11,上海交通大学,计算机科学与技术,1997/1/15,二级警监,二级警务专员,副队长,男
333002,孙,196407262591,1964/7/26,13300001112,群众,,清华大学,计算机科学与技术,2001/7/13,二级警督,四级高级警长,民警,女
333003,苏,195206275942,1952/6/27,13300001113,共青团员,,复旦大学,物理学,1981/3/30,三级警督,四级高级警长,队长,男
333004,张,200406149481,2004/6/14,13300001114,民主党派,,复旦大学,物理学,1996/5/28,一级警督,一级高级警长,副局长,男
333005,徐,199808155187,1998/8/15,13300001115,民主党派,,浙江大学,计算机科学与技术,1990/4/5,二级警员,二级警员,队长,女
333006,许,199902033137,1999/2/3,13300001116,共青团员,,浙江大学,物理学,1984/2/22,三级警监,二级警务专员,警长,男
333007,蒋,198310082375,1983/10/8,13300001117,中共党员,1959/9/24,复旦大学,化学,2007/5/2,三级警司,三级警长,民警,女
333008,陶,200111255930,2001/11/25,13300001118,共青团员,,北京大学,文学,1998/10/26,三级警司,三级警长,副局长,女
333009,李,196305284675,1963/5/28,13300001119,民主党派,,清华大学,文学,2008/11/21,三级警监,二级警务专员,警长,女
333010,杨,196812178368,1968/12/17,13300001120,共青团员,,浙江大学,经济学,1992/5/27,三级警督,一级警长,警长,女
333011,邝,196101242599,1961/1/24,13300001121,民主党派,,浙江大学,经济学,2002/6/7,二级警员,二级警员,队长,女
333012,冯,195411095783,1954/11/9,13300001122,群众,,清华大学,物理学,2021/6/22,三级警司,三级警长,警长,女
333013,邢,199212186543,1992/12/18,13300001123,民主党派,,清华大学,计算机科学与技术,2000/7/18,三级警督,二级警长,警长,男
333014,雷,195603038231,1956/3/3,13300001124,中共党员,1970/11/3,浙江大学,文学,2010/6/13,一级警司,三级警长,副队长,男
333015,卢,198909263091,1989/9/26,13300001125,民主党派,,浙江大学,文学,1999/6/3,一级警监,一级警务专员,副局长,女
333016,傅,195807177739,1958/7/17,13300001126,中共党员,1966/6/27,清华大学,计算机科学与技术,2002/8/1,一级警司,三级警长,民警,女
333017,张,197112193497,1971/12/19,13300001127,群众,,清华大学,计算机科学与技术,1980/5/13,一级警督,二级高级警长,警长,男
333018,陈,198007107122,1980/7/10,13300001128,民主党派,,清华大学,化学,2003/10/20,二级警员,二级警员,警长,男
